reservation_id,user_id,user_type,member_status,age_group,neighborhood,hub_id,hub_name,hub_type,item_id,item_category,item_name,reservation_date,pickup_scheduled_datetime,pickup_status,pickup_actual_datetime,borrow_days,return_due_datetime,return_status,return_actual_datetime,late_hours,parts_expected,parts_returned,missing_parts_flag,damage_flag,damage_severity,cleaning_required_flag,cleaning_done_flag,staff_checkout_minutes,staff_checkin_minutes,hub_queue_length,demand_level,event_period,inventory_available_at_reserve,notifications_enabled_flag,reminders_sent_count,report_issue_in_app_flag,support_ticket_flag,ticket_type,data_entry_method,staff_notes_length,penalty_amount_usd,cancellation_flag,cancellation_reason
RSJ6BW3,U56163,Resident,Standard,55+,University,HUB12,Harbor Hub,Volunteer-heavy,IBME9FP,Sewing/Craft,Craft Cutting Machine,2025-08-29,2025-08-30 15:00:00,Picked up,2025-08-30 15:06:00,5.0,2025-09-04 15:00:00,On time,2025-09-04 15:00:00,0.0,4.0,4.0,0.0,0.0,,1.0,1.0,10.0,9.0,1,Medium,Regular,1,1,1,0,0,,Electronic log,21,0.0,0,
RAC56T4,U41480,Resident,Standard,35-44,Harbor,HUB10,Old Town Hub,Staffed+Volunteers,IUFEL62,Kitchen/Appliances,Electric Griddle,2025-12-02,2025-12-02 16:15:00,Picked up,2025-12-02 17:33:00,10.0,2025-12-12 16:15:00,On time,2025-12-12 16:15:00,0.0,3.0,0.0,1.0,0.0,,0.0,1.0,8.0,5.0,5,Low,Regular,1,1,2,0,1,Missing parts,Electronic log,36,0.0,0,
RYYMU59,U45954,Resident,Frequent Borrower,35-44,Downtown,HUB03,Riverside Hub,Staffed+Volunteers,I07IF2G,Sports,Mountain Bike,2025-11-07,2025-11-08 09:15:00,Picked up,2025-11-08 10:31:00,10.0,2025-11-18 09:15:00,On time,2025-11-18 09:15:00,0.0,4.0,4.0,0.0,1.0,Minor,1.0,1.0,8.0,7.0,3,Low,Regular,1,1,1,0,0,,Mixed,31,0.0,0,
R0L7253,U99599,Volunteer,Frequent Borrower,35-44,East Market,HUB04,University Hub,Staffed+Volunteers,IJ2D54I,Tools,Circular Saw,2025-09-15,2025-09-16 13:30:00,Picked up,2025-09-16 13:55:00,5.0,2025-09-21 13:30:00,On time,2025-09-21 13:30:00,0.0,7.0,6.0,1.0,0.0,,0.0,1.0,8.0,5.0,2,High,Regular,1,0,0,0,0,,Mixed,7,0.0,0,
R35IXOK,U65761,Resident,Standard,55+,Hilltop,HUB09,Lakeside Hub,Staffed+Volunteers,IC1MSY4,Sports,Soccer Goal Set,2025-09-13,2025-09-14 16:00:00,Picked up,2025-09-14 15:29:00,3.0,2025-09-17 16:00:00,On time,2025-09-17 16:00:00,0.0,3.0,3.0,0.0,0.0,,1.0,0.0,13.0,12.0,10,Medium,Weekend,1,0,1,1,0,,Handwritten notes,13,0.0,0,
R5JU9BV,U39430,Resident,Standard,55+,West End,HUB01,Downtown Hub,Staffed,IM2P9E6,Tools,Cordless Drill Kit,2025-08-04,2025-08-04 10:15:00,Cancelled,,,,,,,,,,,,,,,,4,Low,Regular,1,1,0,0,0,,Handwritten notes,12,0.0,1,Changed mind
RZA7TZ0,U84691,Resident,New User,45-54,University,HUB03,Riverside Hub,Staffed+Volunteers,IYNCXLL,Sports,Kayak Set,2025-08-03,2025-08-03 17:45:00,Picked up,2025-08-03 17:21:00,14.0,2025-08-17 17:45:00,On time,2025-08-17 17:45:00,0.0,4.0,4.0,0.0,0.0,,1.0,1.0,10.0,12.0,7,Medium,Weekend,1,1,3,0,0,,Electronic log,26,0.0,0,
RSYLZTG,U44701,Resident,Standard,25-34,Northside,HUB12,Harbor Hub,Volunteer-heavy,IXN0GUO,Sewing/Craft,Craft Cutting Machine,2025-10-21,2025-10-21 17:00:00,Cancelled,,,,,,,,,,,,,,,,2,Medium,Regular,1,1,0,0,0,,Mixed,15,0.0,1,Item not available
RH2VLPY,U75082,Resident,Standard,25-34,Downtown,HUB03,Riverside Hub,Staffed+Volunteers,IS280XK,Sports,Soccer Goal Set,2025-10-20,2025-10-21 09:30:00,Picked up,2025-10-21 10:19:00,14.0,2025-11-04 09:30:00,Late,2025-11-04 15:30:00,6.0,5.0,5.0,0.0,1.0,Minor,1.0,1.0,10.0,13.0,8,High,Regular,1,0,0,1,0,,Electronic log,30,0.5,0,
RM31YIH,U73888,Resident,Standard,35-44,Greenway,HUB05,South Park Hub,Staffed,IAIR4CO,Sewing/Craft,Knitting Kit,2025-08-22,2025-08-22 09:45:00,Picked up,2025-08-22 08:54:00,3.0,2025-08-25 09:45:00,On time,2025-08-25 09:45:00,0.0,3.0,3.0,0.0,0.0,,1.0,0.0,8.0,4.0,1,Low,Regular,1,1,3,0,0,,Electronic log,19,0.0,0,
RZNOFY6,U58290,Resident,Standard,25-34,Greenway,HUB10,Old Town Hub,Staffed+Volunteers,I452H2Z,AV/Projectors,Portable Speaker,2025-09-16,2025-09-17 10:00:00,Picked up,2025-09-17 08:59:00,10.0,2025-09-27 10:00:00,Late,2025-09-28 10:00:00,24.0,6.0,5.0,1.0,0.0,,0.0,1.0,10.0,6.0,4,Medium,Regular,1,0,0,0,1,Damage,Mixed,32,2.0,0,
RI4Q2Y9,U58787,Resident,Frequent Borrower,55+,Hilltop,HUB07,East Market Hub,Staffed,IV86WZS,Tools,Ladder (6ft),2025-10-03,2025-10-03 14:15:00,Picked up,2025-10-03 14:28:00,14.0,2025-10-17 14:15:00,On time,2025-10-17 14:15:00,0.0,6.0,4.0,1.0,0.0,,1.0,0.0,6.0,16.0,8,Medium,Regular,1,1,0,0,0,,Electronic log,13,0.0,0,
R0RJIW1,U93847,Resident,Standard,18-24,Lakeside,HUB03,Riverside Hub,Staffed+Volunteers,ISWJCKJ,Kitchen/Appliances,Air Fryer,2025-08-03,2025-08-03 12:00:00,Picked up,2025-08-03 13:03:00,7.0,2025-08-10 12:00:00,On time,2025-08-10 12:00:00,0.0,3.0,3.0,0.0,0.0,,0.0,1.0,7.0,14.0,7,High,Weekend,1,1,1,0,0,,Electronic log,24,0.0,0,
REIYZCO,U88301,Resident,Standard,55+,West End,HUB06,West End Hub,Staffed,ITOHP6V,AV/Projectors,Projector + Screen,2025-10-05,2025-10-06 12:45:00,Picked up,2025-10-06 12:50:00,5.0,2025-10-11 12:45:00,On time,2025-10-11 12:45:00,0.0,4.0,4.0,0.0,0.0,,1.0,0.0,12.0,15.0,9,Medium,Weekend,1,1,1,0,0,,Handwritten notes,0,0.0,0,
RNAM148,U19847,Resident,Standard,55+,Harbor,HUB12,Harbor Hub,Volunteer-heavy,IP0TVHH,Tools,Ladder (6ft),2025-08-01,2025-08-02 13:45:00,Picked up,2025-08-02 13:36:00,14.0,2025-08-16 13:45:00,Late,2025-08-16 15:45:00,2.0,6.0,3.0,1.0,0.0,,1.0,1.0,8.0,10.0,4,Medium,Regular,1,1,0,0,0,,Electronic log,14,0.17,0,
RNY2047,U60138,Volunteer,Standard,35-44,East Market,HUB11,Greenway Hub,Staffed,I9T6VXD,Kitchen/Appliances,Stand Mixer,2025-11-04,2025-11-04 16:30:00,Picked up,2025-11-04 17:00:00,10.0,2025-11-14 16:30:00,On time,2025-11-14 16:30:00,0.0,5.0,5.0,0.0,0.0,,0.0,1.0,11.0,12.0,5,Medium,Regular,1,1,2,0,0,,Handwritten notes,9,0.0,0,
RGJLQM5,U70233,Resident,Standard,35-44,East Market,HUB03,Riverside Hub,Staffed+Volunteers,IK8P4Q0,Camping,Backpacking Pack,2025-12-21,2025-12-21 11:45:00,No-show,,,,,,,,,,,,,,,,5,Medium,Weekend,1,0,0,0,0,,Electronic log,32,0.0,0,
RX2X18H,U47650,Resident,Standard,25-34,Downtown,HUB10,Old Town Hub,Staffed+Volunteers,IAFEYUH,Sports,Mountain Bike,2025-12-29,2025-12-29 12:00:00,Picked up,2025-12-29 13:08:00,5.0,2026-01-03 12:00:00,Late,2026-01-04 00:00:00,12.0,4.0,4.0,0.0,0.0,,1.0,0.0,10.0,8.0,3,Medium,Regular,1,1,1,0,0,,Electronic log,23,1.0,0,
RGV0E38,U41401,Volunteer,Standard,25-34,Harbor,HUB10,Old Town Hub,Staffed+Volunteers,IDALY8O,Sports,Soccer Goal Set,2025-08-21,2025-08-22 17:00:00,Picked up,2025-08-22 17:23:00,7.0,2025-08-29 17:00:00,Late,2025-08-30 05:00:00,12.0,5.0,4.0,1.0,1.0,Minor,1.0,1.0,5.0,6.0,1,Low,Regular,1,0,0,0,0,,Handwritten notes,17,1.0,0,
RV3IZKY,U24210,Resident,Standard,25-34,Harbor,HUB11,Greenway Hub,Staffed,I22UBTX,Camping,4-Person Tent,2025-08-24,2025-08-24 09:45:00,No-show,,,,,,,,,,,,,,,,5,High,Weekend,1,1,2,0,0,,Electronic log,41,0.0,0,
RAPRPN6,U10207,Resident,Standard,45-54,Northside,HUB08,Hilltop Hub,Volunteer-heavy,IQFGSXW,AV/Projectors,Microphone Set,2025-11-06,2025-11-08 17:30:00,Picked up,2025-11-08 18:15:00,10.0,2025-11-18 17:30:00,On time,2025-11-18 17:30:00,0.0,4.0,4.0,0.0,0.0,,1.0,1.0,5.0,8.0,2,Medium,Regular,1,1,1,0,0,,Electronic log,32,0.0,0,
RP0J43D,U30609,Resident,New User,35-44,Lakeside,HUB10,Old Town Hub,Staffed+Volunteers,I5IQVNB,Kitchen/Appliances,Slow Cooker,2025-12-28,2025-12-28 10:30:00,Picked up,2025-12-28 10:30:00,14.0,2026-01-11 10:30:00,Late,2026-01-11 12:30:00,2.0,4.0,4.0,0.0,0.0,,0.0,1.0,11.0,13.0,15,High,Holiday/Peak,1,0,0,0,0,,Mixed,34,0.17,0,
RH2M5ZJ,U33291,Resident,Standard,25-34,West End,HUB08,Hilltop Hub,Volunteer-heavy,IA8DZR1,Camping,Backpacking Pack,2025-08-10,2025-08-10 11:30:00,Picked up,2025-08-10 11:55:00,7.0,2025-08-17 11:30:00,On time,2025-08-17 11:30:00,0.0,5.0,5.0,0.0,0.0,,0.0,1.0,11.0,10.0,6,High,Weekend,1,1,2,0,0,,Handwritten notes,18,0.0,0,
RQAKOIX,U20634,Resident,Frequent Borrower,18-24,Harbor,HUB03,Riverside Hub,Staffed+Volunteers,INTM9TM,Kitchen/Appliances,Slow Cooker,2025-10-21,2025-10-21 09:45:00,Picked up,2025-10-21 09:24:00,7.0,2025-10-28 09:45:00,On time,2025-10-28 09:45:00,0.0,5.0,5.0,0.0,0.0,,0.0,1.0,3.0,3.0,0,High,Regular,1,1,2,1,0,,Mixed,8,0.0,0,
RJEGET1,U38082,Resident,Standard,55+,Hilltop,HUB04,University Hub,Staffed+Volunteers,IGHR09S,Sports,Soccer Goal Set,2025-10-26,2025-10-26 09:00:00,Picked up,2025-10-26 09:00:00,5.0,2025-10-31 09:00:00,On time,2025-10-31 09:00:00,0.0,4.0,4.0,0.0,1.0,Minor,0.0,1.0,6.0,13.0,5,Medium,Weekend,1,0,0,0,1,Missing parts,Electronic log,30,0.0,0,
RKMKZEB,U26905,Resident,New User,25-34,South Park,HUB03,Riverside Hub,Staffed+Volunteers,IBK7W1D,Tools,Circular Saw,2025-12-18,2025-12-19 10:30:00,Picked up,2025-12-19 10:19:00,5.0,2025-12-24 10:30:00,On time,2025-12-24 10:30:00,0.0,6.0,6.0,0.0,0.0,,0.0,1.0,6.0,8.0,3,Medium,Regular,1,1,1,0,0,,Mixed,21,0.0,0,
RQPGB7R,U30567,Resident,Standard,45-54,Downtown,HUB11,Greenway Hub,Staffed,I3OCWBF,AV/Projectors,Microphone Set,2025-08-29,2025-08-31 11:30:00,No-show,,,,,,,,,,,,,,,,2,Low,Regular,1,0,0,0,0,,Mixed,27,0.0,0,
R9E1V2I,U94899,Resident,Frequent Borrower,18-24,Old Town,HUB07,East Market Hub,Staffed,ISQP49K,Sports,Kayak Set,2025-10-03,2025-10-03 17:45:00,Picked up,2025-10-03 17:45:00,14.0,2025-10-17 17:45:00,On time,2025-10-17 17:45:00,0.0,5.0,5.0,0.0,0.0,,0.0,1.0,6.0,3.0,4,Low,Regular,1,0,0,1,0,,Mixed,16,0.0,0,
R8D1WJC,U78926,Resident,Standard,25-34,Old Town,HUB08,Hilltop Hub,Volunteer-heavy,IITFOYQ,Tools,Ladder (6ft),2025-10-19,2025-10-19 11:00:00,Picked up,2025-10-19 11:00:00,7.0,2025-10-26 11:00:00,On time,2025-10-26 11:00:00,0.0,7.0,7.0,0.0,0.0,,0.0,1.0,6.0,6.0,5,High,Weekend,1,0,0,0,0,,Electronic log,29,0.0,0,
RZZQY72,U71330,Resident,Standard,55+,Downtown,HUB10,Old Town Hub,Staffed+Volunteers,IWX7PTX,Camping,Camping Stove,2025-08-03,2025-08-03 11:00:00,Picked up,2025-08-03 11:14:00,7.0,2025-08-10 11:00:00,Late,2025-08-10 13:00:00,2.0,6.0,6.0,0.0,0.0,,1.0,1.0,12.0,10.0,3,High,Weekend,1,0,0,0,0,,Handwritten notes,5,0.17,0,
RC2V37P,U87454,Resident,Standard,45-54,South Park,HUB04,University Hub,Staffed+Volunteers,IQKOJTP,Camping,4-Person Tent,2025-11-15,2025-11-16 12:45:00,No-show,,,,,,,,,,,,,,,,7,High,Weekend,1,0,1,0,0,,Electronic log,12,0.0,0,
R0VAIY4,U60669,Resident,Standard,18-24,Old Town,HUB06,West End Hub,Staffed,IVA13U1,Tools,Toolbox Set,2025-09-02,2025-09-03 09:15:00,Picked up,2025-09-03 08:53:00,3.0,2025-09-06 09:15:00,On time,2025-09-06 09:15:00,0.0,7.0,6.0,1.0,0.0,,0.0,1.0,9.0,7.0,3,Medium,Regular,1,0,0,0,1,Late return dispute,Electronic log,45,0.0,0,
RX6GVWR,U89025,Resident,Standard,25-34,Riverside,HUB07,East Market Hub,Staffed,IDMLY4L,Kitchen/Appliances,Electric Griddle,2025-12-09,2025-12-10 17:30:00,Picked up,2025-12-10 17:28:00,5.0,2025-12-15 17:30:00,On time,2025-12-15 17:30:00,0.0,4.0,4.0,0.0,0.0,,1.0,1.0,10.0,11.0,2,Low,Regular,1,1,2,0,0,,Mixed,11,0.0,0,
RXO1BDJ,U26154,Resident,Standard,18-24,Harbor,HUB09,Lakeside Hub,Staffed+Volunteers,IE153A5,Kitchen/Appliances,Blender,2025-12-17,2025-12-18 15:45:00,Picked up,2025-12-18 15:50:00,3.0,2025-12-21 15:45:00,On time,2025-12-21 15:45:00,0.0,6.0,6.0,0.0,0.0,,1.0,1.0,10.0,10.0,5,Medium,Regular,1,0,1,1,0,,Mixed,22,0.0,0,
RGN1W1H,U84663,Resident,Standard,18-24,Hilltop,HUB06,West End Hub,Staffed,IT7PZE9,Kitchen/Appliances,Stand Mixer,2025-10-14,2025-10-15 10:30:00,Cancelled,,,,,,,,,,,,,,,,6,Medium,Regular,0,1,0,0,0,,Electronic log,26,0.0,1,Changed mind
RLAOI4E,U12659,Resident,Standard,25-34,Old Town,HUB02,Northside Hub,Volunteer-heavy,I8XF7KZ,Camping,Sleeping Bag Set,2025-12-15,2025-12-15 14:15:00,Cancelled,,,,,,,,,,,,,,,,5,Low,Regular,1,0,0,0,0,,Mixed,28,0.0,1,Found alternative
RITN7S5,U74307,Resident,Standard,25-34,East Market,HUB06,West End Hub,Staffed,I5J2O7S,Kitchen/Appliances,Slow Cooker,2025-10-12,2025-10-12 09:45:00,Cancelled,,,,,,,,,,,,,,,,7,High,Weekend,1,1,2,0,0,,Handwritten notes,5,0.0,1,Item not available
R4UX5QR,U36649,Resident,Standard,55+,Downtown,HUB12,Harbor Hub,Volunteer-heavy,IL1N759,Sports,Soccer Goal Set,2025-12-27,2025-12-27 17:30:00,Picked up,2025-12-27 18:10:00,14.0,2026-01-10 17:30:00,Not returned,,,6.0,,0.0,0.0,,,,10.0,,13,High,Holiday/Peak,0,1,2,0,0,,Electronic log,22,0.0,0,
RI1B0Z3,U27709,Resident,Frequent Borrower,45-54,University,HUB11,Greenway Hub,Staffed,INX39RB,AV/Projectors,Camera Tripod,2025-11-07,2025-11-07 14:00:00,Picked up,2025-11-07 13:14:00,10.0,2025-11-17 14:00:00,On time,2025-11-17 14:00:00,0.0,7.0,6.0,1.0,0.0,,1.0,1.0,6.0,11.0,2,Medium,Regular,1,1,1,0,0,,Electronic log,33,0.0,0,
R55PSQ0,U44542,Resident,Frequent Borrower,18-24,Lakeside,HUB08,Hilltop Hub,Volunteer-heavy,IOXFQ8M,AV/Projectors,Microphone Set,2025-10-23,2025-10-23 10:00:00,Picked up,2025-10-23 10:11:00,3.0,2025-10-26 10:00:00,On time,2025-10-26 10:00:00,0.0,8.0,8.0,0.0,0.0,,1.0,1.0,10.0,5.0,1,Medium,Regular,1,1,2,0,0,,Handwritten notes,0,0.0,0,
R444NLZ,U72493,Resident,Frequent Borrower,45-54,Harbor,HUB04,University Hub,Staffed+Volunteers,I15BCW7,Kitchen/Appliances,Stand Mixer,2025-08-28,2025-08-28 14:15:00,Picked up,2025-08-28 14:33:00,10.0,2025-09-07 14:15:00,Late,2025-09-07 20:15:00,6.0,3.0,3.0,0.0,0.0,,1.0,1.0,11.0,12.0,2,Medium,Regular,1,0,0,0,0,,Handwritten notes,0,0.5,0,
RPDW5PY,U82127,Resident,Standard,25-34,University,HUB09,Lakeside Hub,Staffed+Volunteers,I6B2KNF,Sewing/Craft,Sewing Machine,2025-12-10,2025-12-10 14:30:00,Picked up,2025-12-10 15:33:00,7.0,2025-12-17 14:30:00,Late,2025-12-20 14:30:00,72.0,4.0,4.0,0.0,0.0,,1.0,1.0,7.0,17.0,4,Medium,Regular,1,1,2,0,0,,Mixed,2,6.0,0,
RYGGVNY,U49420,Nonprofit Partner,Frequent Borrower,35-44,Lakeside,HUB08,Hilltop Hub,Volunteer-heavy,IRUIWQY,Kitchen/Appliances,Electric Griddle,2025-10-07,2025-10-08 12:30:00,No-show,,,,,,,,,,,,,,,,2,Medium,Regular,1,1,1,0,0,,Electronic log,6,0.0,0,
RFPMVXP,U76418,Resident,New User,35-44,Hilltop,HUB08,Hilltop Hub,Volunteer-heavy,IJ4HNRI,Sports,Yoga Kit,2025-12-17,2025-12-17 14:00:00,Picked up,2025-12-17 13:55:00,7.0,2025-12-24 14:00:00,On time,2025-12-24 14:00:00,0.0,6.0,6.0,0.0,0.0,,0.0,1.0,10.0,9.0,1,Medium,Regular,1,0,0,1,0,,Electronic log,35,0.0,0,
